ip,country_code,region_code,city,zip_code,latitude,longitude,handle,name,last_changed,registration
170.41.217.242,US,GA,Atlanta,30320,33.749,-84.388,NET-170-41-0-0-1,DELTA2,2012-04-02,1994-02-09
68.201.137.254,US,TX,El Paso,79938,31.8045,-105.9661,NET-68-200-0-0-1,RR-SOUTHEAST-BLK3,2004-09-17,2003-01-31
99.111.39.72,US,,,,37.751,-97.822,NET-99-111-39-72-1,SBC-99-111-39-72-29-1101030724,2011-01-03,2011-01-03
50.95.213.154,US,,,,37.751,-97.822,NET-50-94-0-0-1,WAYPORT-50-94-NET,2012-06-25,2011-03-11
196.66.237.55,MA,06,Casablanca,,33.5928,-7.6192,NET-196-0-0-0-0,NET196,2010-11-09,1993-05-01
205.103.13.107,US,VA,Virginia Beach,23459,36.9205,-76.0192,NET-205-56-0-0-1,NETBLK-NIC-BLK1,2011-06-21,1998-05-18
60.8.248.163,CN,13,Hebei,,39.8897,115.275,NET-60-0-0-0-1,APNIC-60,2010-07-30,2003-04-06
206.100.196.16,US,MO,Chesterfield,63017,38.65,-90.5334,NET-206-99-128-0-2,SAVVIS,2005-03-21,1995-08-15
162.186.48.90,US,,,,37.751,-97.822,NET-162-160-0-0-1,CORE,2012-06-13,2012-06-13
148.144.96.155,US,NY,White Plains,10601,41.0291,-73.758,NET-148-144-0-0-1,NYPA,2001-12-11,1991-04-18
246.160.189.226,,,,,0.0,0.0,NET-240-0-0-0-0,SPECIAL-IPV4-FUTURE-USE-IANA-RESERVED,2013-08-30,NA
218.219.12.5,JP,22,Shizuoka,420-0853,34.9769,138.3831,NET-218-0-0-0-1,APNIC4,2010-07-30,2000-12-07
221.58.181.228,JP,,,,35.69,139.69,NET-221-0-0-0-1,APNIC7,2010-07-30,NA
174.148.5.80,US,,,,37.751,-97.822,NET-174-148-0-0-1,SPRINT-174-148-0-0,2016-08-18,2016-08-18
229.249.233.3,,,,,0.0,0.0,NET-224-0-0-0-1,MCAST-NET,2013-08-30,1991-05-22
255.100.74.149,,,,,0.0,0.0,NET-240-0-0-0-0,SPECIAL-IPV4-FUTURE-USE-IANA-RESERVED,2013-08-30,NA
52.69.234.20,JP,13,Tokyo,100-0001,35.6427,139.7677,NET-52-68-0-0-1,AMAZON-NRT1,2015-10-21,2015-10-21
69.147.192.39,US,WI,Eau Claire,54703,44.834,-91.5729,NET-69-147-192-32-1,WIN-GRANT-COUNTY-001,2015-12-09,2015-12-09
164.10.90.239,SE,,,,59.3247,18.056,NET-164-1-0-0-1,RIPE-ERX-164-1-0-0,2009-08-25,2003-07-23
118.4.189.11,JP,46,Kagoshima,890-0064,31.5602,130.5581,NET-118-0-0-0-1,APNIC-118,2010-07-30,2007-01-17
212.133.77.223,GB,,,,51.4964,-0.1224,NET-212-0-0-0-1,RIPE-NCC-212,2009-03-25,1997-11-14
186.161.234.89,PE,LMA,Lima,,-12.0678,-77.0886,NET-186-0-0-0-1,LACNIC-186,2010-07-21,2007-09-28
143.28.41.120,US,OH,Cincinnati,45201,39.1271,-84.5144,NET-143-1-0-0-1,PGINTERNET143,2004-05-05,1990-08-05
221.138.218.81,KR,11,Seoul,,37.5111,126.9743,NET-221-0-0-0-1,APNIC7,2010-07-30,NA
199.176.81.182,US,,,,37.751,-97.822,NET-199-176-0-0-1,AADSNET-CIDR,2012-04-02,1994-02-17
161.62.142.248,CH,BE,Bern,3003,46.9167,7.4667,NET-161-62-0-0-1,RIPE-ERX-161-62-0-0,2004-02-18,2004-02-18
192.189.232.56,,,,,0.0,0.0,NET-192-189-229-0-1,APNIC-ERX-192-189-229-0,2009-10-08,2005-01-31
73.16.88.141,US,CT,Bethel,06801,41.3807,-73.3915,NET-73-0-0-0-1,CABLE-1,2016-08-31,2005-04-19
98.182.109.179,US,LA,Plaquemine,70764,30.1882,-91.3241,NET-98-160-0-0-1,CXA,2012-03-02,2007-07-20
244.107.124.171,,,,,0.0,0.0,NET-240-0-0-0-0,SPECIAL-IPV4-FUTURE-USE-IANA-RESERVED,2013-08-30,NA
218.51.145.137,KR,,,,37.5112,126.9741,NET-218-0-0-0-1,APNIC4,2010-07-30,2000-12-07
212.213.151.12,FI,18,Vantaa,01200,60.3,24.85,NET-212-0-0-0-1,RIPE-NCC-212,2009-03-25,1997-11-14
35.88.41.212,US,MI,Ann Arbor,48104,42.2734,-83.7133,NET-35-0-0-0-1,MICH-1,2015-09-18,1994-04-01
120.169.196.230,ID,JK,Jakarta,,-6.1744,106.8294,NET-120-0-0-0-1,APNIC-120,2010-07-30,2007-01-17
163.122.163.157,IN,MH,Mumbai,,18.975,72.8258,NET-163-0-0-0-0,APNIC-ERX-163,2010-07-30,1993-05-01
202.139.233.35,AU,WA,Wickham,6720,-20.6747,117.1378,NET-202-0-0-0-1,APNIC-CIDR-BLK,2010-08-02,1994-04-05
207.35.184.157,CA,,,,43.6319,-79.3716,NET-207-35-0-0-1,GRICS01,2009-06-17,1996-01-23
75.81.191.242,US,CA,El Centro,92243,32.7736,-115.6022,NET-75-80-0-0-1,RRWE,2006-12-22,2006-07-19
3.65.9.186,US,CT,Fairfield,06828,41.1412,-73.2637,NET-3-0-0-0-1,GE-INTERNET,2008-03-28,1988-02-23
72.145.88.126,US,,,,37.751,-97.822,NET-72-145-64-0-1,BLS-72-145-64-0-1003020946,2010-03-03,2010-03-03
143.175.127.198,US,,,,37.751,-97.822,NET-143-175-0-0-1,DNIC-SNET-143-175,2009-04-16,1990-10-01
33.228.59.126,US,,,,37.751,-97.822,NET-33-0-0-0-1,DISN-IP-LEGACY,2013-09-11,1991-01-01
143.58.60.188,US,IL,Chicago,60606,41.8824,-87.6377,NET-143-58-0-0-1,MBRM-NET,2013-06-26,1990-03-26
41.185.58.60,ZA,,,,-29.0,24.0,NET-41-0-0-0-1,NET41,2010-11-09,2005-04-12
99.81.177.179,US,,,,37.751,-97.822,NET-99-0-0-0-1,SBCIS-SBIS,2012-03-02,2008-02-25
38.82.15.134,US,,,,37.751,-97.822,NET-38-0-0-0-1,COGENT-A,2011-05-20,1991-04-16
58.89.135.38,JP,35,Shimonoseki,750-0036,33.95,130.95,NET-58-0-0-0-1,APNIC-58,2010-07-30,2004-05-04
142.239.237.68,CA,NS,Halifax,b3k 6r8,44.662,-63.6017,NET-142-239-0-0-1,IWKHC,2012-02-24,1993-06-28
149.174.122.148,US,,,,37.751,-97.822,NET-149-174-0-0-1,AOL-149BLK,2011-04-05,1991-05-09
2.34.105.92,IT,21,Galliate,28066,45.4794,8.6982,NET-2-0-0-0-1,2-RIPE,2009-09-30,2009-09-29
4.137.36.8,US,,,,37.751,-97.822,NET-4-0-0-0-1,LVLT-ORG-4-8,2012-02-24,1992-12-01
163.12.185.160,US,VA,Virginia Beach,23459,36.9205,-76.0192,NET-163-12-0-0-1,NLN,2008-07-15,1992-07-02
200.188.78.4,MX,NLE,Garza Garcia,66216,25.6667,-100.4,NET-200-0-0-0-1,LACNIC-200,2010-07-21,2002-07-27
60.191.216.209,CN,33,Jinhua,,29.1068,119.6442,NET-60-0-0-0-1,APNIC-60,2010-07-30,2003-04-06
204.165.74.10,US,,,,37.751,-97.822,NET-204-164-0-0-1,LVLT-ORG-204-164,2012-02-24,1994-10-04
203.200.178.142,IN,,,,20.0,77.0,NET-203-0-0-0-1,APNIC-203,2010-08-02,1994-04-05
42.150.176.121,JP,43,Kumamoto,862-0953,32.7897,130.7417,NET-42-0-0-0-1,APNIC-42,2011-04-12,2010-10-26
239.63.92.161,,,,,0.0,0.0,NET-224-0-0-0-1,MCAST-NET,2013-08-30,1991-05-22
61.22.208.43,JP,40,Fukuoka,812-0045,33.6064,130.4181,NET-61-0-0-0-1,APNIC3,2010-07-30,1997-04-25
189.27.235.77,BR,RS,Porto Alegre,,-30.0333,-51.2,NET-189-0-0-0-1,NET189,2010-07-21,2005-06-17
169.71.198.204,US,NY,New York,10271,40.7087,-74.0104,NET-169-71-0-0-1,NETBLK-167-71-0-0-1,2010-09-27,2010-09-27
239.154.122.148,,,,,0.0,0.0,NET-224-0-0-0-1,MCAST-NET,2013-08-30,1991-05-22
38.144.97.166,US,,,,37.751,-97.822,NET-38-0-0-0-1,COGENT-A,2011-05-20,1991-04-16
160.27.171.225,JP,27,Osaka,540-0008,34.6864,135.52,NET-160-20-240-0-1,APNIC,2016-09-02,2016-09-02
220.122.70.234,KR,,,,37.5112,126.9741,NET-220-0-0-0-1,APNIC6,2010-07-30,NA
30.218.251.60,US,,,,37.751,-97.822,NET-30-0-0-0-1,DNIC-NET-030,2009-06-19,1991-07-01
48.190.197.187,US,NJ,Newark,07102,40.7355,-74.1741,NET-48-0-0-0-1,PRU48,2012-04-02,1990-12-07
78.106.131.95,RU,VGG,Volgograd,,48.7194,44.5018,NET-78-0-0-0-1,78-RIPE,2009-05-18,2006-08-29
101.12.136.206,TW,,Taipei,,25.0418,121.4966,NET-101-0-0-0-1,APNIC-101,2010-08-16,2010-08-12
40.253.133.163,US,,,,37.751,-97.822,NET-40-144-0-0-1,LILLY-NET,2012-11-13,1991-04-23
223.88.137.11,CN,41,Luoyang,,34.6836,112.4536,NET-223-0-0-0-1,APNIC-223,2010-07-30,2003-03-16
4.31.42.137,US,NJ,Jersey City,07307,40.7518,-74.0662,NET-4-31-42-128-1,LVLT-PURESEND-4-31-42-128,2013-05-28,2013-05-28
192.35.91.194,US,CT,Avon,06001,41.79,-72.8736,NET-192-35-91-0-1,CSR-NET,1991-01-03,1988-03-18
108.84.96.199,US,CA,Fresno,93702,36.7411,-119.7499,NET-108-64-0-0-1,SBCIS-SBIS,2012-03-02,2009-10-29
83.88.5.87,DK,,,,55.7123,12.0564,NET-83-0-0-0-1,83-RIPE,2004-03-16,2003-11-17
176.192.203.174,RU,MOW,Moscow,101194,55.7485,37.6184,NET-176-0-0-0-0,RIPE-176,2010-05-18,1993-05-01
207.108.98.125,US,ND,Bismarck,58501,46.8159,-100.7062,NET-207-108-96-0-1,USW-BSMRPLTM,1997-11-15,1997-11-15
91.65.15.17,DE,BE,Berlin,12529,52.5167,13.4,NET-91-0-0-0-1,91-RIPE,2009-05-18,2005-06-30
182.100.230.199,CN,36,Nanchang,,28.55,115.9333,NET-182-0-0-0-0,APNIC-182,2010-07-30,2009-08-03
146.11.36.223,AU,,,,-33.494,143.2104,NET-146-11-0-0-1,APNIC-ERX-146-11-0-0,2009-10-08,2004-02-04
43.82.175.170,JP,13,Tokyo,100-0001,35.6427,139.7677,NET-43-0-0-0-1,APNIC-ERX-43,2013-01-14,1989-02-21
39.19.72.248,KR,,,,37.5112,126.9741,NET-39-0-0-0-1,APNIC-39,2011-02-10,2011-01-09
11.236.127.211,US,,,,37.751,-97.822,NET-11-0-0-0-1,DODIIS,2007-08-22,1984-01-19
67.159.211.17,CA,BC,Burnaby,v5g 4w9,49.2478,-122.9938,NET-67-159-208-0-1,IN2NETWORK,2012-02-24,2008-07-21
4.88.20.162,US,,,,37.751,-97.822,NET-4-0-0-0-1,LVLT-ORG-4-8,2012-02-24,1992-12-01
32.250.25.183,US,,,,37.751,-97.822,NET-32-224-0-0-1,ATT-32-0-0-0-A,2015-02-11,1990-05-30
95.205.222.86,SE,,,,59.3247,18.056,NET-95-0-0-0-1,95-RIPE,2009-05-18,2007-07-30
214.172.188.150,US,,,,37.751,-97.822,NET-214-0-0-0-1,DNIC-NET-214,2011-06-21,1998-03-27
